Image_Number,Human1,Human2,Human3,Human4,Human5,Human6,Human7,Human8,Human9,Human10,Human11,Human12,Human13,Human14,Human15,Human16,Human17,Human18,Human19,Human20,Aura
480389,82.57,28.18,18.93,6.57,16.80,16.24,26.02,24.74,,,,,,,,,,,,,27.51
2823,83.01,41.37,130.45,41.81,88.65,64.44,,,,,,,,,,,,,,,74.95
32819,20.29,17.82,,,,,,,,,,,,,,,,,,,19.05
387368,168.26,156.81,,,,,,,,,,,,,,,,,,,162.53
209383,114.45,,,,,,,,,,,,,,,,,,,,114.45
80821,245.68,,,,,,,,,,,,,,,,,,,,245.68
257297,197.85,139.68,195.51,67.57,,,,,,,,,,,,,,,,,150.15
240046,166.55,80.86,79.54,137.00,122.97,,,,,,,,,,,,,,,,117.38
63043,50.10,136.37,23.50,28.38,22.42,24.17,65.80,43.25,70.52,18.75,36.31,14.72,20.34,629.00,,,,,,,84.55
490318,48.33,32.30,11.37,,,,,,,,,,,,,,,,,,30.67
415288,95.50,64.45,97.78,,,,,,,,,,,,,,,,,,85.91
85035,184.28,37.81,43.77,95.81,,,,,,,,,,,,,,,,,90.42
258397,53.40,60.10,40.88,28.87,27.57,17.75,11.53,9.77,25.20,32.08,11.21,34.91,45.67,602.00,,,,,,,71.50
237202,314.23,,,,,,,,,,,,,,,,,,,,314.23
551717,144.51,64.86,,,,,,,,,,,,,,,,,,,104.69
56585,122.53,,,,,,,,,,,,,,,,,,,,122.53
173216,24.97,27.06,,,,,,,,,,,,,,,,,,,26.02
294117,120.01,110.03,50.98,82.13,27.07,64.96,,,,,,,,,,,,,,,75.86
164093,297.29,189.66,39.99,,,,,,,,,,,,,,,,,,175.65
490992,18.53,19.06,24.23,,,,,,,,,,,,,,,,,,20.61
454205,103.47,40.56,9.64,6.19,41.73,8.01,11.13,,,,,,,,,,,,,,31.53
342921,50.69,38.74,28.08,32.99,34.35,23.35,,,,,,,,,,,,,,,34.70
501118,36.54,,,,,,,,,,,,,,,,,,,,36.54
103936,178.92,103.29,,,,,,,,,,,,,,,,,,,141.10
77709,61.90,90.66,,,,,,,,,,,,,,,,,,,76.28
511734,128.86,44.14,21.52,20.43,31.30,33.07,21.71,24.75,20.79,15.20,45.11,18.78,,,,,,,,,35.47
562498,130.56,,,,,,,,,,,,,,,,,,,,130.56
314778,248.74,122.22,,,,,,,,,,,,,,,,,,,185.48
367919,133.51,,,,,,,,,,,,,,,,,,,,133.51
70333,99.91,,,,,,,,,,,,,,,,,,,,99.91
372669,455.71,,,,,,,,,,,,,,,,,,,,455.71
416303,118.48,99.05,,,,,,,,,,,,,,,,,,,108.77
137150,190.55,120.71,110.59,46.79,74.50,,,,,,,,,,,,,,,,108.63
13603,135.23,,,,,,,,,,,,,,,,,,,,135.23
571989,76.20,,,,,,,,,,,,,,,,,,,,76.20
270172,95.17,95.08,25.07,42.05,24.58,42.80,26.08,19.31,17.64,39.11,10.71,22.79,13.84,,,,,,,,36.48
33352,9.35,,,,,,,,,,,,,,,,,,,,9.35
385863,45.27,62.37,11.05,24.42,6.42,5.23,4.79,,,,,,,,,,,,,,22.79
174440,86.89,,,,,,,,,,,,,,,,,,,,86.89
497216,76.39,39.99,45.07,26.23,16.17,18.78,7.97,12.89,9.80,23.69,4.80,,,,,,,,,,25.62
94097,6.51,,,,,,,,,,,,,,,,,,,,6.51
474026,247.75,,,,,,,,,,,,,,,,,,,,247.75
295537,28.51,,,,,,,,,,,,,,,,,,,,28.51
790,97.58,194.19,144.75,195.86,,,,,,,,,,,,,,,,,158.09
58873,357.42,,,,,,,,,,,,,,,,,,,,357.42
230680,38.42,,,,,,,,,,,,,,,,,,,,38.42
129860,208.31,,,,,,,,,,,,,,,,,,,,208.31
296385,122.78,58.07,58.42,95.73,49.74,,,,,,,,,,,,,,,,76.95
557084,35.08,58.91,,,,,,,,,,,,,,,,,,,46.99
61758,12.69,17.36,16.31,9.63,,,,,,,,,,,,,,,,,14.00
193479,13.97,14.63,12.54,9.91,8.40,8.45,8.81,7.73,16.90,9.43,9.70,13.08,9.16,7.62,14.21,560.00,,,,,45.28
549423,403.28,239.70,,,,,,,,,,,,,,,,,,,321.49
382182,34.04,25.57,30.03,29.47,,,,,,,,,,,,,,,,,29.78
271066,295.91,,,,,,,,,,,,,,,,,,,,295.91
465225,97.30,,,,,,,,,,,,,,,,,,,,97.30
543201,105.23,,,,,,,,,,,,,,,,,,,,105.23
382101,320.31,177.04,,,,,,,,,,,,,,,,,,,248.68
548532,172.34,75.29,104.62,20.42,9.70,13.88,3.84,4.63,14.52,,,,,,,,,,,,46.58
132954,74.38,61.18,57.27,34.91,18.97,26.30,54.06,9.63,44.51,31.89,23.60,24.27,30.74,43.00,,,,,,,38.19
209418,17.57,12.69,19.46,,,,,,,,,,,,,,,,,,16.57
189361,47.36,33.02,85.68,40.73,36.59,39.27,,,,,,,,,,,,,,,47.11
305327,75.25,89.16,37.97,35.59,47.41,,,,,,,,,,,,,,,,57.08
463695,248.24,,,,,,,,,,,,,,,,,,,,248.24
218546,52.17,24.88,26.29,28.38,16.93,17.76,18.21,19.75,10.53,21.58,8.95,4.84,10.84,,,,,,,,20.09
291497,119.38,8.70,8.23,4.54,11.21,14.76,10.95,4.24,130.50,13.53,8.13,8.77,7.96,471.00,,,,,,,58.71
546261,227.87,265.47,,,,,,,,,,,,,,,,,,,246.67
131967,5.87,7.05,,,,,,,,,,,,,,,,,,,6.46
192104,46.54,32.85,30.05,33.56,,,,,,,,,,,,,,,,,35.75
353473,36.56,45.51,58.32,,,,,,,,,,,,,,,,,,46.80
419159,145.97,,,,,,,,,,,,,,,,,,,,145.97
366022,271.77,,,,,,,,,,,,,,,,,,,,271.77
11968,10.18,14.02,8.12,5.38,9.37,20.62,7.27,,,,,,,,,,,,,,10.71
533810,16.44,16.14,8.31,15.39,9.17,9.86,21.14,7.39,,,,,,,,,,,,,12.98
111922,101.64,221.13,125.92,65.80,122.15,,,,,,,,,,,,,,,,127.33
387529,114.58,,,,,,,,,,,,,,,,,,,,114.58
66443,136.87,106.50,,,,,,,,,,,,,,,,,,,121.69
214729,19.76,13.73,16.96,,,,,,,,,,,,,,,,,,16.82
353288,58.68,94.73,10.64,7.13,5.42,,,,,,,,,,,,,,,,35.32
543038,230.43,212.71,,,,,,,,,,,,,,,,,,,221.57
4489,29.54,43.22,14.07,,,,,,,,,,,,,,,,,,28.94
426680,6.67,9.78,6.53,,,,,,,,,,,,,,,,,,7.66
272255,85.61,85.75,360.81,,,,,,,,,,,,,,,,,,177.39
534954,103.38,,,,,,,,,,,,,,,,,,,,103.38
213135,270.33,,,,,,,,,,,,,,,,,,,,270.33
301461,72.72,67.11,39.02,173.82,41.37,31.90,29.39,,,,,,,,,,,,,,65.05
264165,388.82,185.84,,,,,,,,,,,,,,,,,,,287.33
26668,190.05,,,,,,,,,,,,,,,,,,,,190.05
320911,95.59,66.90,52.11,78.06,36.55,,,,,,,,,,,,,,,,65.84
209531,57.09,27.46,33.04,24.53,,,,,,,,,,,,,,,,,35.53
290331,39.46,56.78,11.89,5.15,5.13,8.34,,,,,,,,,,,,,,,21.13
325989,84.83,94.80,90.81,107.03,74.94,86.39,107.02,120.89,79.82,70.26,,,,,,,,,,,91.68
93378,101.85,15.47,19.90,14.97,,,,,,,,,,,,,,,,,38.05
289019,65.97,64.83,14.61,21.66,21.25,16.43,11.29,15.78,,,,,,,,,,,,,28.98
138618,109.78,27.31,16.81,24.65,,,,,,,,,,,,,,,,,44.64
225402,217.46,319.28,205.30,15.68,14.94,84.93,103.49,,,,,,,,,,,,,,137.30
342618,107.72,,,,,,,,,,,,,,,,,,,,107.72
213826,9.22,5.37,6.67,5.79,5.24,4.21,5.87,6.23,6.82,7.62,5.33,13.83,7.14,12.00,,,,,,,7.24
375296,311.05,25.67,,,,,,,,,,,,,,,,,,,168.36
445388,258.06,11.35,16.00,17.88,201.71,34.19,15.34,30.11,17.50,18.72,16.18,23.34,16.83,373.00,,,,,,,75.02
481974,74.19,,,,,,,,,,,,,,,,,,,,74.19
408833,43.62,63.64,31.32,9.99,12.59,,,,,,,,,,,,,,,,32.23
55276,218.84,319.64,41.27,126.38,,,,,,,,,,,,,,,,,176.53
343737,125.25,169.70,96.64,,,,,,,,,,,,,,,,,,130.53
288344,402.63,,,,,,,,,,,,,,,,,,,,402.63
491733,15.40,15.84,12.56,11.84,14.10,15.29,7.32,14.02,,,,,,,,,,,,,13.30
427990,32.59,53.30,,,,,,,,,,,,,,,,,,,42.95
308180,233.97,187.73,,,,,,,,,,,,,,,,,,,210.85
365739,122.41,117.34,155.12,,,,,,,,,,,,,,,,,,131.62
282015,147.82,,,,,,,,,,,,,,,,,,,,147.82
474233,113.87,,,,,,,,,,,,,,,,,,,,113.87
151757,140.61,,,,,,,,,,,,,,,,,,,,140.61
379294,188.18,,,,,,,,,,,,,,,,,,,,188.18
24414,414.81,,,,,,,,,,,,,,,,,,,,414.81
391117,45.62,,,,,,,,,,,,,,,,,,,,45.62
500267,80.75,,,,,,,,,,,,,,,,,,,,80.75
244762,52.17,27.47,22.93,12.68,31.65,23.06,25.79,3.35,13.39,23.49,9.96,9.57,13.10,10.00,,,,,,,19.90
314224,136.59,67.61,,,,,,,,,,,,,,,,,,,102.10
298360,170.97,,,,,,,,,,,,,,,,,,,,170.97
494642,381.94,,,,,,,,,,,,,,,,,,,,381.94
422782,264.46,268.14,,,,,,,,,,,,,,,,,,,266.30
351818,29.71,31.71,12.86,26.86,24.42,13.47,22.36,18.97,11.24,12.51,,,,,,,,,,,20.41
197482,68.45,34.01,57.77,22.57,,,,,,,,,,,,,,,,,45.70
104800,125.80,72.17,24.35,,,,,,,,,,,,,,,,,,74.11
107353,49.72,24.91,26.91,26.94,19.85,17.79,,,,,,,,,,,,,,,27.69
9203,72.64,18.01,,,,,,,,,,,,,,,,,,,45.33
575938,487.10,18.30,,,,,,,,,,,,,,,,,,,252.70
559995,27.78,28.41,23.17,,,,,,,,,,,,,,,,,,26.45
212028,234.31,106.78,68.76,62.43,74.11,48.56,53.67,,,,,,,,,,,,,,92.66
183964,164.08,9.88,12.29,,,,,,,,,,,,,,,,,,62.08
262286,85.21,30.92,34.85,23.04,22.86,18.31,16.30,11.62,13.79,6.85,12.90,15.49,15.50,298.00,,,,,,,43.26
25506,67.39,16.67,,,,,,,,,,,,,,,,,,,42.03
184211,28.27,14.47,6.53,16.08,9.34,15.52,22.87,7.69,14.85,43.15,28.04,12.93,13.22,,,,,,,,17.92
224524,212.96,,,,,,,,,,,,,,,,,,,,212.96
3353,526.20,,,,,,,,,,,,,,,,,,,,526.20
330573,116.11,35.43,20.45,11.72,8.77,8.68,8.81,4.90,,,,,,,,,,,,,26.86
483118,3.80,4.36,,,,,,,,,,,,,,,,,,,4.08
471863,86.71,100.09,,,,,,,,,,,,,,,,,,,93.40
259170,341.97,,,,,,,,,,,,,,,,,,,,341.97
378711,34.49,26.53,25.20,25.75,24.04,28.32,20.12,25.69,16.32,20.72,19.13,11.96,22.36,518.00,,,,,,,58.47
524646,21.57,,,,,,,,,,,,,,,,,,,,21.57
238051,37.90,16.67,12.89,9.10,28.08,,,,,,,,,,,,,,,,20.93
20106,141.06,15.66,,,,,,,,,,,,,,,,,,,78.36
308433,128.38,12.87,13.45,22.81,10.98,26.66,12.08,12.51,26.56,19.78,11.63,,,,,,,,,,27.06
398098,227.04,120.81,19.75,129.48,,,,,,,,,,,,,,,,,124.27
393290,304.90,,,,,,,,,,,,,,,,,,,,304.90
415724,10.65,15.40,,,,,,,,,,,,,,,,,,,13.03
507243,10.22,8.92,9.25,9.69,9.25,,,,,,,,,,,,,,,,9.47
99548,105.75,,,,,,,,,,,,,,,,,,,,105.75
239457,34.60,37.30,38.61,,,,,,,,,,,,,,,,,,36.84
42472,141.33,11.16,10.89,20.43,12.08,11.16,12.56,9.96,12.79,19.72,13.02,9.77,14.73,493.00,,,,,,,56.61
115741,100.68,44.04,,,,,,,,,,,,,,,,,,,72.36
521709,182.07,92.45,75.31,147.11,,,,,,,,,,,,,,,,,124.23
439614,19.17,16.11,30.90,16.79,22.29,21.66,13.78,10.55,15.66,11.40,8.64,21.86,12.14,329.00,,,,,,,39.28
575049,374.13,392.82,91.12,,,,,,,,,,,,,,,,,,286.02
529788,13.21,6.00,4.36,6.43,7.65,,,,,,,,,,,,,,,,7.53
362768,350.62,,,,,,,,,,,,,,,,,,,,350.62
414888,74.39,45.55,38.83,,,,,,,,,,,,,,,,,,52.92
137491,15.76,10.61,14.39,8.00,6.58,9.92,7.19,21.43,9.17,14.02,8.40,7.27,5.65,,,,,,,,10.65
464257,18.13,,,,,,,,,,,,,,,,,,,,18.13
128998,184.37,6.36,7.38,4.63,12.75,10.25,6.89,4.10,,,,,,,,,,,,,29.59
106820,437.68,,,,,,,,,,,,,,,,,,,,437.68
44232,21.09,,,,,,,,,,,,,,,,,,,,21.09
429433,253.23,,,,,,,,,,,,,,,,,,,,253.23
420912,130.32,,,,,,,,,,,,,,,,,,,,130.32
140180,181.82,23.67,29.11,21.99,12.36,,,,,,,,,,,,,,,,53.79
320286,183.13,,,,,,,,,,,,,,,,,,,,183.13
316536,185.81,,,,,,,,,,,,,,,,,,,,185.81
282131,45.41,48.46,15.80,42.53,,,,,,,,,,,,,,,,,38.05
161738,9.77,3.58,97.42,7.81,6.20,9.77,10.97,8.82,14.45,10.31,6.34,10.87,14.89,625.00,,,,,,,59.73
219194,495.96,,,,,,,,,,,,,,,,,,,,495.96
552093,54.24,,,,,,,,,,,,,,,,,,,,54.24
554488,84.29,,,,,,,,,,,,,,,,,,,,84.29
404899,240.71,,,,,,,,,,,,,,,,,,,,240.71
516365,95.25,33.98,,,,,,,,,,,,,,,,,,,64.61
24912,119.74,159.78,27.81,18.20,20.67,50.27,103.56,48.13,14.84,,,,,,,,,,,,62.56
329684,20.55,19.83,26.08,,,,,,,,,,,,,,,,,,22.15
17487,611.97,,,,,,,,,,,,,,,,,,,,611.97
405628,131.92,,,,,,,,,,,,,,,,,,,,131.92
565595,212.13,200.98,,,,,,,,,,,,,,,,,,,206.55
542,68.99,48.37,40.24,47.34,40.20,33.45,44.10,43.07,67.39,30.75,19.70,14.66,,,,,,,,,41.52
139429,134.19,141.98,,,,,,,,,,,,,,,,,,,138.08
178840,158.06,,,,,,,,,,,,,,,,,,,,158.06
229852,377.47,,,,,,,,,,,,,,,,,,,,377.47
516417,43.15,59.18,39.73,15.82,22.62,23.27,23.09,11.25,17.94,10.82,20.85,,,,,,,,,,26.16
318529,38.45,52.91,60.61,46.22,39.12,46.46,42.38,49.15,32.38,36.60,52.83,20.83,,,,,,,,,43.16
556039,272.45,,,,,,,,,,,,,,,,,,,,272.45
304758,211.96,52.86,140.69,,,,,,,,,,,,,,,,,,135.17
59075,86.31,68.76,43.03,75.98,,,,,,,,,,,,,,,,,68.52
571881,95.51,78.09,112.80,121.20,23.45,74.66,,,,,,,,,,,,,,,84.29
271235,51.11,54.18,49.77,38.43,74.94,17.26,35.61,19.14,6.58,35.66,22.93,25.99,21.08,604.00,,,,,,,75.48
239930,272.51,,,,,,,,,,,,,,,,,,,,272.51
499584,136.57,,,,,,,,,,,,,,,,,,,,136.57
7232,20.81,7.78,5.50,17.41,,,,,,,,,,,,,,,,,12.88
172681,44.38,28.65,34.16,59.13,4.26,,,,,,,,,,,,,,,,34.12
515020,75.36,46.57,77.93,48.83,38.86,31.34,,,,,,,,,,,,,,,53.15
334936,69.81,44.77,,,,,,,,,,,,,,,,,,,57.29
84730,52.02,31.82,43.44,54.51,39.76,,,,,,,,,,,,,,,,44.31
390792,150.25,45.52,,,,,,,,,,,,,,,,,,,97.89
172056,515.10,,,,,,,,,,,,,,,,,,,,515.10
182019,170.02,42.41,163.96,99.89,78.93,193.61,,,,,,,,,,,,,,,124.80
142779,40.93,57.46,17.79,,,,,,,,,,,,,,,,,,38.73
534559,131.84,33.88,54.46,31.07,50.68,27.95,39.74,29.19,32.82,25.24,172.56,14.08,23.92,,,,,,,,51.34
575584,22.09,,,,,,,,,,,,,,,,,,,,22.09
149030,24.57,8.20,8.64,8.50,6.95,3.60,11.04,,,,,,,,,,,,,,10.21
259060,310.38,85.20,187.00,,,,,,,,,,,,,,,,,,194.19
390414,611.07,39.73,79.50,29.14,53.56,110.74,54.51,97.71,62.57,,,,,,,,,,,,126.50
494637,41.01,79.25,,,,,,,,,,,,,,,,,,,60.13
246759,8.12,,,,,,,,,,,,,,,,,,,,8.12
469728,26.05,20.90,33.05,30.50,19.31,20.07,15.83,10.04,16.94,9.13,,,,,,,,,,,20.18
133284,3.79,5.09,5.50,2.63,1.78,3.13,8.72,4.13,5.37,,,,,,,,,,,,4.46
217636,60.19,14.25,22.11,6.36,,,,,,,,,,,,,,,,,25.73
390966,159.34,337.69,,,,,,,,,,,,,,,,,,,248.51
81020,10.73,,,,,,,,,,,,,,,,,,,,10.73
36041,51.79,115.49,94.47,40.77,,,,,,,,,,,,,,,,,75.63
351382,11.70,9.85,8.30,7.81,6.01,10.16,6.29,4.56,7.37,7.56,7.98,6.74,8.09,,,,,,,,7.88
91025,76.91,111.48,,,,,,,,,,,,,,,,,,,94.20
405136,247.95,16.36,196.85,,,,,,,,,,,,,,,,,,153.72
481893,33.70,27.56,26.91,12.37,,,,,,,,,,,,,,,,,25.14
127284,34.90,73.72,,,,,,,,,,,,,,,,,,,54.31
125555,388.13,328.63,322.87,113.04,,,,,,,,,,,,,,,,,288.17
280354,56.38,40.40,80.96,103.12,36.70,23.49,30.30,,,,,,,,,,,,,,53.05
539797,80.52,25.63,14.52,39.87,35.22,14.22,10.91,5.14,75.92,37.11,9.41,5.29,,,,,,,,,29.48
218305,110.22,36.69,42.47,,,,,,,,,,,,,,,,,,63.13
324981,133.78,6.28,,,,,,,,,,,,,,,,,,,70.03
70487,426.00,,,,,,,,,,,,,,,,,,,,426.00
259717,120.30,172.32,83.11,75.81,54.02,61.21,,,,,,,,,,,,,,,94.46
239400,53.15,50.85,,,,,,,,,,,,,,,,,,,52.00
295762,95.55,,,,,,,,,,,,,,,,,,,,95.55
403830,211.67,,,,,,,,,,,,,,,,,,,,211.67
305235,34.93,,,,,,,,,,,,,,,,,,,,34.93
15859,493.89,142.48,,,,,,,,,,,,,,,,,,,318.19
98836,140.64,104.00,15.89,24.18,17.06,16.10,8.65,21.10,4.54,19.67,17.35,,,,,,,,,,35.38
464150,100.56,66.88,,,,,,,,,,,,,,,,,,,83.72
529500,132.13,,,,,,,,,,,,,,,,,,,,132.13
269871,56.80,47.20,145.61,21.57,21.95,16.55,16.87,45.53,9.06,22.27,165.52,90.18,639.00,,,,,,,,99.85
565594,291.10,,,,,,,,,,,,,,,,,,,,291.10
291915,115.05,,,,,,,,,,,,,,,,,,,,115.05
70104,32.56,19.31,17.55,45.33,,,,,,,,,,,,,,,,,28.69
382706,45.48,19.84,,,,,,,,,,,,,,,,,,,32.66
13528,42.02,83.28,4.95,,,,,,,,,,,,,,,,,,43.42
51342,59.29,,,,,,,,,,,,,,,,,,,,59.29
354309,139.01,198.33,206.60,236.78,106.29,32.93,47.69,77.10,,,,,,,,,,,,,130.59
316281,253.22,319.26,10.75,,,,,,,,,,,,,,,,,,194.41
168134,104.43,92.03,,,,,,,,,,,,,,,,,,,98.23
390935,26.88,45.84,12.25,44.27,,,,,,,,,,,,,,,,,32.31
509009,335.82,,,,,,,,,,,,,,,,,,,,335.82
16344,192.48,,,,,,,,,,,,,,,,,,,,192.48
541541,115.03,,,,,,,,,,,,,,,,,,,,115.03
440344,90.84,17.49,,,,,,,,,,,,,,,,,,,54.16
207978,54.33,62.63,50.69,37.34,51.23,12.97,,,,,,,,,,,,,,,44.87
468648,37.04,,,,,,,,,,,,,,,,,,,,37.04
390334,39.84,17.30,19.96,11.70,20.56,,,,,,,,,,,,,,,,21.87
267203,16.01,15.05,13.79,17.27,13.03,7.51,13.62,21.53,10.00,12.67,,,,,,,,,,,14.05
123282,103.00,,,,,,,,,,,,,,,,,,,,103.00
503383,253.21,,,,,,,,,,,,,,,,,,,,253.21
410261,29.51,39.94,,,,,,,,,,,,,,,,,,,34.73
57579,194.59,137.22,157.36,24.27,341.55,,,,,,,,,,,,,,,,171.00
245797,93.44,243.29,313.04,76.59,,,,,,,,,,,,,,,,,181.59
9296,54.45,6.74,,,,,,,,,,,,,,,,,,,30.60
377983,257.03,,,,,,,,,,,,,,,,,,,,257.03
492154,301.55,130.54,165.15,84.14,75.40,78.01,108.44,64.53,74.94,64.39,54.35,,,,,,,,,,109.22
112480,285.16,33.89,284.01,71.69,,,,,,,,,,,,,,,,,168.69
38370,201.29,60.14,82.88,134.06,173.66,,,,,,,,,,,,,,,,130.41
86981,77.10,22.31,,,,,,,,,,,,,,,,,,,49.70
466845,99.55,60.12,,,,,,,,,,,,,,,,,,,79.83
325095,32.29,16.11,28.18,14.25,12.47,14.72,32.36,17.89,13.89,11.74,6.21,29.05,29.30,198.00,,,,,,,32.60
514619,16.55,13.48,6.44,4.23,31.41,7.16,6.55,2.61,3.00,3.02,4.84,,,,,,,,,,9.03
367222,22.50,13.78,28.81,13.24,9.50,20.91,15.63,,,,,,,,,,,,,,17.77
511854,213.79,78.72,,,,,,,,,,,,,,,,,,,146.25
203976,349.59,,,,,,,,,,,,,,,,,,,,349.59
7853,98.46,83.28,63.35,70.08,37.62,86.29,37.49,,,,,,,,,,,,,,68.08
549194,118.14,,,,,,,,,,,,,,,,,,,,118.14
300987,242.24,,,,,,,,,,,,,,,,,,,,242.24
557578,19.22,12.75,,,,,,,,,,,,,,,,,,,15.98
168993,20.65,5.15,14.69,26.71,10.22,14.69,49.10,9.41,15.34,13.42,23.16,12.18,33.03,84.00,,,,,,,23.70
419310,47.42,56.21,,,,,,,,,,,,,,,,,,,51.81
384775,49.27,3.65,3.86,2.89,5.84,3.76,3.02,7.44,3.19,,,,,,,,,,,,9.21
15621,7.46,9.08,12.72,,,,,,,,,,,,,,,,,,9.75
139040,289.25,139.47,83.67,124.06,32.83,,,,,,,,,,,,,,,,133.86
236217,44.56,58.87,20.25,39.24,85.15,18.65,8.86,20.10,24.86,22.41,10.99,12.16,,,,,,,,,30.51
373373,125.20,59.10,56.75,57.78,55.79,29.27,48.94,21.35,22.92,30.88,100.77,48.92,10.01,184.00,,,,,,,60.83
36101,121.79,132.16,91.57,104.61,79.23,65.30,42.48,75.80,,,,,,,,,,,,,89.12
306060,59.56,108.43,,,,,,,,,,,,,,,,,,,84.00
178635,186.59,48.24,47.21,24.14,15.34,16.68,27.50,,,,,,,,,,,,,,52.24
535141,104.84,,,,,,,,,,,,,,,,,,,,104.84
96826,25.14,20.36,13.29,10.80,,,,,,,,,,,,,,,,,17.40
212011,6.70,7.03,,,,,,,,,,,,,,,,,,,6.87
470471,291.93,,,,,,,,,,,,,,,,,,,,291.93
510391,35.77,24.71,24.47,34.58,8.20,8.38,,,,,,,,,,,,,,,22.69
263208,236.21,151.91,121.17,23.78,,,,,,,,,,,,,,,,,133.27
579589,287.51,,,,,,,,,,,,,,,,,,,,287.51
246573,58.83,14.45,21.36,26.18,17.33,23.26,4.25,59.29,,,,,,,,,,,,,28.12
575310,89.19,70.87,23.91,,,,,,,,,,,,,,,,,,61.32
84724,75.70,,,,,,,,,,,,,,,,,,,,75.70
394349,615.93,,,,,,,,,,,,,,,,,,,,615.93
292893,75.97,22.06,,,,,,,,,,,,,,,,,,,49.02
198214,26.84,,,,,,,,,,,,,,,,,,,,26.84
400734,130.36,,,,,,,,,,,,,,,,,,,,130.36
337087,198.38,83.49,74.12,68.02,51.14,53.76,,,,,,,,,,,,,,,88.15
22071,78.39,76.18,61.16,29.78,31.48,35.01,65.64,35.86,28.39,38.27,23.76,29.17,31.99,516.00,,,,,,,77.22
495789,36.68,,,,,,,,,,,,,,,,,,,,36.68
269888,11.55,20.81,16.44,12.38,,,,,,,,,,,,,,,,,15.29
270581,397.76,,,,,,,,,,,,,,,,,,,,397.76
414887,477.75,,,,,,,,,,,,,,,,,,,,477.75
527207,25.49,24.00,6.49,,,,,,,,,,,,,,,,,,18.66
510047,122.13,,,,,,,,,,,,,,,,,,,,122.13
297880,233.53,460.38,,,,,,,,,,,,,,,,,,,346.95
285022,126.68,141.42,32.21,76.63,,,,,,,,,,,,,,,,,94.23
497386,24.68,19.42,34.51,,,,,,,,,,,,,,,,,,26.20
415794,24.57,29.78,12.12,8.59,7.79,,,,,,,,,,,,,,,,16.57
253674,59.68,,,,,,,,,,,,,,,,,,,,59.68
206211,7.28,,,,,,,,,,,,,,,,,,,,7.28
392825,38.46,54.82,15.45,21.95,20.25,,,,,,,,,,,,,,,,30.19
172937,392.28,522.60,204.00,,,,,,,,,,,,,,,,,,372.96
356060,131.90,106.74,30.26,53.38,18.73,10.76,13.69,14.71,18.89,20.50,,,,,,,,,,,41.96
438864,156.67,147.18,201.90,82.26,47.17,85.29,,,,,,,,,,,,,,,120.08
319115,348.98,,,,,,,,,,,,,,,,,,,,348.98
397645,443.65,,,,,,,,,,,,,,,,,,,,443.65
151678,64.28,49.77,,,,,,,,,,,,,,,,,,,57.03
564204,141.39,,,,,,,,,,,,,,,,,,,,141.39
378293,179.47,65.39,41.04,12.69,22.57,37.95,17.78,31.29,15.80,32.40,12.83,,,,,,,,,,42.66
33505,173.79,,,,,,,,,,,,,,,,,,,,173.79
304748,135.91,67.02,59.89,,,,,,,,,,,,,,,,,,87.61
203710,177.42,,,,,,,,,,,,,,,,,,,,177.42
142674,69.34,7.69,,,,,,,,,,,,,,,,,,,38.52
486807,100.76,144.70,95.05,,,,,,,,,,,,,,,,,,113.50
534166,150.27,202.46,236.67,38.86,27.81,21.30,65.57,50.38,41.03,,,,,,,,,,,,92.71
112410,47.98,45.63,49.54,,,,,,,,,,,,,,,,,,47.72
547449,206.90,,,,,,,,,,,,,,,,,,,,206.90
358616,30.12,16.52,10.52,12.29,5.75,10.61,4.21,,,,,,,,,,,,,,12.86
28878,80.88,130.03,,,,,,,,,,,,,,,,,,,105.45
128395,9.25,,,,,,,,,,,,,,,,,,,,9.25
269588,195.28,76.47,21.47,11.11,8.39,,,,,,,,,,,,,,,,62.54
173284,150.71,394.79,184.45,52.38,,,,,,,,,,,,,,,,,195.58
377422,92.00,,,,,,,,,,,,,,,,,,,,92.00
467686,111.48,178.50,182.50,,,,,,,,,,,,,,,,,,157.49
244675,57.93,23.46,26.84,21.47,28.48,,,,,,,,,,,,,,,,31.64
381789,110.45,,,,,,,,,,,,,,,,,,,,110.45
6338,90.84,36.77,51.24,,,,,,,,,,,,,,,,,,59.62
562678,217.34,,,,,,,,,,,,,,,,,,,,217.34
365946,212.54,263.25,,,,,,,,,,,,,,,,,,,237.89
99536,86.71,95.71,16.91,20.10,,,,,,,,,,,,,,,,,54.86
538686,101.51,,,,,,,,,,,,,,,,,,,,101.51
217094,122.50,,,,,,,,,,,,,,,,,,,,122.50
198169,202.32,362.43,,,,,,,,,,,,,,,,,,,282.38
451386,191.92,69.32,41.73,,,,,,,,,,,,,,,,,,100.99
398289,211.99,143.90,56.59,16.06,22.74,48.55,8.20,7.70,,,,,,,,,,,,,64.47
476269,88.86,53.56,,,,,,,,,,,,,,,,,,,71.21
107838,11.17,5.53,,,,,,,,,,,,,,,,,,,8.35
160016,54.57,59.23,,,,,,,,,,,,,,,,,,,56.90
339978,329.43,,,,,,,,,,,,,,,,,,,,329.43
342591,10.54,6.71,6.80,7.63,11.54,4.85,11.25,6.46,6.20,10.27,7.14,15.43,8.24,440.00,,,,,,,39.50
67749,18.52,29.36,17.47,,,,,,,,,,,,,,,,,,21.78
193931,303.71,260.48,,,,,,,,,,,,,,,,,,,282.10
